date,close
2016/10/31,3.18
2016/9/30,3.29
2016/8/31,3.41
2016/7/29,3.48
2016/6/30,3.69
2016/5/31,3.83
2016/4/29,4
2016/3/31,3.7
2016/2/26,4.03
2016/1/30,3.17
2015/12/31,3.15
2015/11/30,3.24
